bid,name,pattern,subPattern,expected,got,delta,deltaAbs
,Akasha(sp3v2) x0.88,speed,Unsigned,11.7,11.59,0.11,0.11
,End Time(e3v2) x1.1,speed,Unsigned,11.5,11.69,-0.19,0.19
,INTERNET OVERDOSE x1.05,tech,stream tech,11.4,12.14,-0.74,0.74
,Euthanasia x1.05,speed,Unsigned,11.2,11.93,-0.73,0.73
,LazorBeamz,stamina,light jumpstream,11,11.3,-0.3,0.3
,Makiba(alpha),speed,low stream,11,11.6,-0.6,0.6
,Dark Sambaland,jack,high chordjack,11,11.49,-0.49,0.49
,Odoru Mizushibuki x1.1,tech,jack tech,10.8,11.01,-0.21,0.21
,Towards the Horizon,tech,Unsigned,10.8,11.86,-1.06,1.06
,P8107 x0.95,speed,low stream,10.8,12.16,-1.36,1.36
,Message(e2v2),speed,low stream,10.7,11.55,-0.85,0.85
,Moment x1.05,jack,high chordjack,10.6,10.69,-0.09,0.09
,Shin Takarajim(sp2v2),speed,Unsigned,10.5,11.44,-0.94,0.94
,Torikago,speed,mid stream,10.4,11.06,-0.66,0.66
,The Lost Dedicated(loved),jack,high chordjack,10.4,11.12,-0.72,0.72
,Eiya no Parade x1.05,speed,low stream,10.3,10.87,-0.57,0.57
,Dope Monkeys x1.02,speed,low stream,10.1,10.2,-0.1,0.1
,Tailin no Soul x1.2,tech,stream tech,10,9.65,0.35,0.35
,Rave 7 [Hard] x1.1,tech,stream tech,10,11.39,-1.39,1.39
,Chandelier(10),stamina,dense jumpstream,10,10.99,-0.99,0.99
,Oh Curry! x0.9,speed,staircase,10,9.47,0.53,0.53
,The Lost Dedicated(10),jack,high chordjack,10,11.01,-1.01,1.01
,Cicadidae,tech,stream tech,9,8.87,0.13,0.13
,Firmament Castle Velier(9) x1.05,stamina,dense jumpstream,9,10.65,-1.65,1.65
,Disconnected Trance(9),speed,low stream,9,8.87,0.13,0.13
,Scorpion Dance,jack,high chordjack,9,10.4,-1.4,1.4
,Can't Take my Eyes,jack,low chordjack,9,8.61,0.39,0.39
,RATO,tech,stream tech,8,8.09,-0.09,0.09
,Anguish(8),stamina,dense jumpstream,8,8.18,-0.18,0.18
,Trickstarz,speed,staircase,8,9.13,-1.13,1.13
,To The Limit(8),jack,high chordjack,8,8.11,-0.11,0.11
,WAVE,tech,mix tech,7,7.16,-0.16,0.16
,Hymn,stamina,light jumpstream,7,7.09,-0.09,0.09
,Last Chance,jack,Unsigned,7,6.81,0.19,0.19
,Five Five Five Guys,speed,low stream,6.6,7.26,-0.66,0.66
,M-A[Expert Lv.15],stamina,dense jumpstream,6.2,6.52,-0.32,0.32
,The Bird's Midair Heatstroke,tech,Unsigned,6,5.83,0.17,0.17
,Luv Lab 22ate!,speed,mid stream,6,7.03,-1.03,1.03
,SOS,speed,mid stream,6,6.08,-0.08,0.08
,Sweet Cherry X,jack,Unsigned,6,6.32,-0.32,0.32
,Back to the Gate[Lv.5100],stamina,dense jumpstream,6,6.34,-0.34,0.34
,Brainfog,tech,Unsigned,5,4.71,0.29,0.29
,Elektric U-Phoria,stamina,dense jumpstream,5,5.91,-0.91,0.91
,Palette GAMMA[Abstract],speed,low stream,5,5.48,-0.48,0.48
,TDPDG,speed,low stream,5,5.32,-0.32,0.32
,Energy Flower 3007,jack,Unsigned,5,5.04,-0.04,0.04
,Angel Of Darkness,stamina,light jumpstream,4.2,4.57,-0.37,0.37
,Ephemera,tech,Unsigned,4,4.64,-0.64,0.64
,Shannon's Theorem,tech,stream tech,4,4.59,-0.59,0.59
,CrossOver,jack,Unsigned,4,3.47,0.53,0.53
,Kirlian Shores,tech,Unsigned,3,2.19,0.81,0.81
,True Blue,stamina,Unsigned,3,3.21,-0.21,0.21
,Entelechia,speed,mid stream,3,2.79,0.21,0.21
,Dimension Trippere!!!!,jack,Unsigned,3,2.55,0.45,0.45
,Vermillion,tech,Unsigned,2,2.28,-0.28,0.28
,Eternal Drain,stamina,Unsigned,2,2.78,-0.78,0.78
,Snow Storm,speed,Unsigned,2,2.54,-0.54,0.54
,Flashes,jack,Unsigned,2,2.6,-0.6,0.6
,Want U 2,tech,Unsigned,1,1.4,-0.4,0.4
,Tommorow Perfume,stamina,Unsigned,1,2.42,-1.42,1.42
,Shelter,speed,Unsigned,1,0.95,0.05,0.05
,Miracle Chance,jack,Unsigned,1,1.47,-0.47,0.47
3079544,Night Club Junkie x0.95,speed,low stream,14.6,14.74,-0.14,0.14
3079545,Night Club Junkie,speed,low stream,15,15.18,-0.18,0.18
3933034,kizuato x1.25,speed,staircase,15.8,15.61,0.19,0.19
3933037,kizuato x1.3,speed,staircase,16.2,16.3,-0.1,0.1
4692665,Everything Black x0.95,speed,high stream,14.8,14.87,-0.07,0.07
4692669,Everything Black,speed,high stream,15.2,15.26,-0.06,0.06
1455989,Moon Gate,speed,high stream,13,12.98,0.02,0.02
5111540,angel dust,stamina,light handstream,16.4,16.18,0.22,0.22
5195389,Lolit Speed x1.13,stamina,dense jumpstream,14,13.46,0.54,0.54
1305297,Tornado,tech,jacky tech,13.4,12.91,0.49,0.49
2196118,Kaguyahime x1.2,tech,jacky tech,14.4,14.51,-0.11,0.11
1065834,Big Brother,tech,stream tech,10,10.25,-0.25,0.25
2877294,STRONG 280,stamina,dense handstream,14.4,15.75,-1.35,1.35
716700,slavik goblins,stamina,dense handstream,13.7,13.45,0.25,0.25
1429738,star of andromeda,jack,low chordjack,11,10.44,0.56,0.56
3150955,star of andromeda x1.1,jack,low chordjack,13,12.67,0.33,0.33
3150957,star of andromeda x1.2,jack,low chordjack,14,13.95,0.05,0.05
3150959,star of andromeda x1.3,jack,low chordjack,15,14.78,0.22,0.22
3580775,star of andromeda x1.4,jack,low chordjack,16,15.57,0.43,0.43
2552927,paranoia,jack,low chordjack,10,9.98,0.02,0.02
3260902,The Truth Never Spoken,jack,mid chordjack,12.6,12.77,-0.17,0.17
2308001,Vertex Beta,jack,mid chordjack,15.8,14.52,1.28,1.28
4706643,EVERYTHING BLACK,jack,high chordjack,13.6,13.23,0.37,0.37
3535951,Heaven's Fall x1.3,stamina,dense handstream,13.6,13.59,0.01,0.01
3107371,Rude Buster (Camellia Remix),stamina,dense handstream,14,13.61,0.39,0.39
3107368,Rude Buster (Camellia Remix) x1.1,stamina,dense handstream,15,14.62,0.38,0.38
1937582,Love is War x1.3,stamina,dense handstream,13.6,13.83,-0.23,0.23
2553924,ametsuchi x1.2,jack,low chordjack,8.6,7.88,0.72,0.72
,Oceanus(xfpsb1),ln,hybrid,9.5,7.02,2.48,2.48
,Otenba Koimusume,ln,density,9.5,7.4903,2.0097,2.0097
,Gunjou Infinity [Buffed] (Cut),ln,speed,9.5,7.5904,1.9096,1.9096
,Orca [Broken-],ln,tech,9.5,7.3401,2.1599,2.1599
,Hanatachi ni Kibouwo 1.15x,ln,hybrid,10.5,9.4315,1.0685,1.0685
,Akasha 1.05x,ln,density,10.5,9.9646,0.5354,0.5354
,Ano Yume o Nazotte (Cut) 1.15x,ln,speed,10.5,8.586,1.914,1.914
,Yoru ni Kakeru (xfpsb2 Cut) 1.05x,ln,tech,10.5,8.0219,2.4781,2.4781
,L4.8TS,ln,hybrid,11.5,10.2078,1.2922,1.2922
,Utakatayo Ikanaide [LN Edit] (Cut) 1.265x,ln,density,11.5,10.7777,0.7223,0.7223
,bullet 1.15x,ln,speed,11.5,11.0601,0.4399,0.4399
,HAMELN [Fanger] (Cut),ln,tech,11.5,7.0502,4.4498,4.4498
,Aegleseeker [Galaxy+],ln,hybrid,12.5,11.1896,1.3104,1.3104
,finorza (Cut),ln,density,12.5,11.5646,0.9354,0.9354
,Kokoro no Shitsuryou (Edit),ln,speed,12.5,10.5613,1.9387,1.9387
,Unmei no Haguruma (Edit),ln,tech,12.5,8.1939,4.3061,4.3061
,ReviveR,ln,hybrid,13.5,12.7476,0.7524,0.7524
,Unleashed World 1.075x,ln,density,13.5,12.239,1.261,1.261
,Kairikou 1.125x,ln,speed,13.5,12.8753,0.6247,0.6247
,Identity Part 5 1.05x,ln,tech,13.5,11.8973,1.6027,1.6027
,Exitium 1.025x,ln,hybrid,14.5,13.5122,0.9878,0.9878
,Ultrasonic Anthem [Ultimate+] 1.1x,ln,density,14.5,13.1642,1.3358,1.3358
,Decoy 1.025x,ln,speed,14.5,13.5455,0.9545,0.9545
,Flamewall (Cut) [Edit] 1.15x,ln,tech,14.5,15.1222,-0.6222,0.6222
,Snow Drive (Cut) 1.225x,ln,hybrid,15.5,14.5159,0.9841,0.9841
,Kaku mo Yuubi na Hi to Narite (Cut) 1.1x,ln,density,15.5,14.2912,1.2088,1.2088
,Tojita Sekai (xfpsbF Cut),ln,speed,15.5,13.9332,1.5668,1.5668
,Shuu no Hazama (xfpsbF Cut) 1.15x,ln,tech,15.5,13.7993,1.7007,1.7007
4608742,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Doki Doki Literature Club! ~ 2nd ~ (Marathon)],ln,hybrid,2,0.96,1.04,1.04
4608744,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Hitorigoto ~ 1st ~ (Marathon)],ln,hybrid,1,1.09,-0.09,0.09
4608739,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [aura ~ 3rd ~ (Marathon)],ln,hybrid,3,1.41,1.59,1.59
4608750,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Otenba Koimusume ~ 4th ~ (Marathon)],ln,hybrid,4,1.75,2.25,2.25
4608751,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Pink Gold ~ 5th ~ (Marathon)],ln,hybrid,5,4.28,0.72,0.72
4608745,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Koborezu no Negaigoto ~ 6th ~ (Marathon)],ln,hybrid,6,3.36,2.64,2.64
4608749,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Missing Banquet ~ 8th ~ (Marathon)],ln,hybrid,8,6.35,1.65,1.65
4608752,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Rock It ~ 7th ~ (Marathon)],ln,hybrid,7,5.9,1.1,1.1
4608741,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Dodger's Gadget ~ 9th ~ (Marathon)],ln,hybrid,9,7.3101,1.6899,1.6899
4614499,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [towa no maigo 1.1x ~ 10th ~ (Marathon)],ln,hybrid,10,9.165,0.835,0.835
4608747,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Kyouki Ranmai ~ Yoru ~ (Marathon)],ln,hybrid,13,11.5664,1.4336,1.4336
4608743,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Enigma 1.1x ~ Yoake ~ (Marathon)],ln,hybrid,11,9.3614,1.6386,1.6386
4608740,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Carnation [ck remix] 1.05x ~ Yuugure ~ (Marathon)],ln,hybrid,12,10.6169,1.3831,1.3831
4608753,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Protoflicker 1.25x ~ Yokaze ~ (Marathon)],ln,hybrid,16,13.5757,2.4243,2.4243
4608748,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Mare Nectaris ~ Yami ~ (Marathon)],ln,hybrid,14,13.3771,0.6229,0.6229
4608746,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Kodoku no Kakurenbo 1.15x ~ Yume ~ (Marathon)],ln,hybrid,15,14.1424,0.8576,0.8576
4608999,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Dango Daikazoku ~ 1st ~ (Marathon)],ln,release,1,0.5,0.5,0.5
4614497,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [SPF 420 ~ 2nd ~ (Marathon)],ln,release,2,1.27,0.73,0.73
4609008,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Power To Progress ~ 6th ~ (Marathon)],ln,release,6,1.5,4.5,4.5
4609001,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Gee ~ 4th ~ (Marathon)],ln,release,4,3.07,0.93,0.93
4609011,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [silver temple ~ 3rd ~ (Marathon)],ln,release,3,1.83,1.17,1.17
4609004,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [MilK ~ 5th ~ (Marathon)],ln,release,5,3.33,1.67,1.67
4609010,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Shotgun Senorita [Zardonic Remix] ~ 8th ~ (Marathon)],ln,release,8,2.24,5.76,5.76
4609007,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [On the FM ~ 7th ~ (Marathon)],ln,release,7,4.75,2.25,2.25
4609009,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Raijin no Hidariude ~ 9th ~ (Marathon)],ln,release,9,5.91,3.09,3.09
4609000,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Dopamine ~ 10th ~ (Marathon)],ln,release,10,7.3001,2.6999,2.6999
4609006,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [No. 6 ~ Yuugure ~ (Marathon)],ln,tech,12,7.8355,4.1645,4.1645
4608998,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Avalon no oka ~ Yoake ~ (Marathon)],ln,inverse,11,5.53,5.47,5.47
4609003,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Intersect Thunderbolt -Remix ~ Yoru ~ (Marathon)],ln,tech,13,10.4083,2.5917,2.5917
4609002,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Inaiinai isonshou 1.25x ~ Yume ~ (Marathon)],ln,tech,15,15.2621,-0.2621,0.2621
4609005,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Nhelv 1.05x ~ Yami ~ (Marathon)],ln,tech,14,13.0404,0.9596,0.9596
4609012,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Cinderella Cage -Trancecore Mix- 1.6x ~ Yokaze ~ (Marathon)],ln,tech,16,14.2043,1.7957,1.7957
4609086,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Nerevar Rising ~ 1st ~ (Marathon)],ln,inverse,1,0.5,0.5,0.5
4609080,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Heartbeats ~ 2nd ~ (Marathon)],ln,inverse,2,0.83,1.17,1.17
4609079,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [future gazer ~ 4th ~ (Marathon)],ln,inverse,4,1.04,2.96,2.96
4609081,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [i use raw expectation to unlock placebo. ~ 3rd ~ (Marathon)],ln,inverse,3,1.07,1.93,1.93
4609076,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [ 3 ~ 7th ~ (Marathon)],ln,inverse,7,1.68,5.32,5.32
4609085,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Mousou Express [Remix] ~ 6th ~ (Marathon)],ln,inverse,6,3.6,2.4,2.4
4609087,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Promise ~ 5th ~ (Marathon)],ln,inverse,5,3.94,1.06,1.06
4609088,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Sakase natsuzora koi no hana. ~ 8th ~ (Marathon)],ln,inverse,8,4.37,3.63,3.63
4609077,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [cold planet ~ 9th ~ (Marathon)],ln,inverse,9,6.34,2.66,2.66
4609084,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Love is War ~ Yoake ~ (Marathon)],ln,density,11,10.5679,0.4321,0.4321
4609089,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Sakura Trip 1.15x ~ 10th ~ (Marathon)],ln,inverse,10,6.85,3.15,3.15
4609078,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [ENDYMION ~ Yuugure ~ (Marathon)],ln,density,12,10.3564,1.6436,1.6436
4609083,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Literal Crystal In The Cyphisonia 1.15x ~ Yoru ~],ln,density,13,13.3366,-0.3366,0.3366
4609082,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Indomitable Spirit [Hommarju Remix] 1.5x ~ Yami ~ (Marathon)],ln,density,14,11.7809,2.2191,2.2191
4614495,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Lancelot -Flame of the Rebellion- 1.35x ~ Yokaze ~ (Marathon)],ln,density,16,13.87,2.13,2.13
4609090,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [White Hair Little Swords Girl 1.025x ~ Yume ~ (Marathon)],ln,density,15,13.825,1.175,1.175
4609231,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Trickl4sh 220 ~ 1st ~ (Marathon)],ln,density,1,0.91,0.09,0.09
4609229,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Rockhill ~ 2nd ~ (Marathon)],ln,density,2,3.72,-1.72,1.72
4609227,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [OVERDRIVERS ~ 3rd ~ (Marathon)],ln,density,3,4.08,-1.08,1.08
4609221,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Blacksphere ~ 5th ~ (Marathon)],ln,density,5,4.46,0.54,0.54
4609217,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [#FairyJoke #SDVX_Edit ~ 4th ~ (Marathon)],ln,density,4,4.61,-0.61,0.61
4609220,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Berry Go!! ~ 6th ~ (Marathon)],ln,density,6,6.35,-0.35,0.35
4609228,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Owari to Hajimari no Oto ~ 8th ~ (Marathon)],ln,density,8,7.6104,0.3896,0.3896
4614493,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Tsumibito ~ 7th ~ (Marathon)],ln,density,7,7.4208,-0.4208,0.4208
4609226,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Ordinary world ~ 9th ~ (Marathon)],ln,density,9,7.9515,1.0485,1.0485
4609222,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Element of SPADA 1.1x ~ 10th ~ (Marathon)],ln,speed,12,8.6934,3.3066,3.3066
4609219,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [asphyxia 1.05x ~ Yoake ~ (Marathon)],ln,speed,11,9.1642,1.8358,1.8358
4609230,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [The lost ~ Yami ~ (Marathon)],ln,speed,14,13.283,0.717,0.717
4609225,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [NUCLEAR-STAR ~ Yume ~ (Marathon)],ln,speed,15,13.5831,1.4169,1.4169
