bid,name,pattern,subPattern,expected,got,delta,deltaAbs
,Ascension to heaven(sp6v2) x0.975,speed,Unsigned,13.8,13.39,0.41,0.41
,Nhelv(Guilhermeziat),tech,jack tech,13.6,13.14,0.46,0.46
,Shadows of Cats(tachyon) x1.2,tech,stream tech,13.6,14.05,-0.45,0.45
,The Empress(delta),stamina,dense handstream,13.6,13.52,0.08,0.08
,Nopea,speed,mid stream,13.6,13.91,-0.31,0.31
,Pastel Subliminal,speed,Unsigned,13.5,13.94,-0.44,0.44
,Extraction,tech,Unsigned,13.4,12.9,0.5,0.5
,Tornado [Devastation](interliser),tech,mix tech,13.4,12.9,0.5,0.5
,Cyber Inductance(tachyon) x1.4,stamina,dense jumpstream,13.4,13.33,0.07,0.07
3477045,Electric Angel(e5v3) x1.2,speed,high stream,13.4,13.24,0.16,0.16
,Angel Dust(tachyon),speed,high stream,13.4,13.43,-0.03,0.03
,Defeat awaken battle ship,jack,high chordjack,13.4,13.13,0.27,0.27
,WE LUV LAMA(gamma) x1.2,stamina,dense jumpstream,13,13.19,-0.19,0.19
,Reflec Streamz(gamma),speed,low stream,13,13.29,-0.29,0.29
,Break(loved) x1.1,jack,high chordjack,13,13.07,-0.07,0.07
,Sendan Life(OpakyL),jack,dense chordjack,13,12.73,0.27,0.27
,Unsan-musho,tech,stream tech,12.8,12.89,-0.09,0.09
,Sonesaki Shinju(sp5v2) x0.925,speed,Unsigned,12.7,12.63,0.07,0.07
,Fastest Crash (gamma),tech,stream tech,12.6,12.72,-0.12,0.12
,Shinbatsu o Tadori Kyoukotsu ni Itaru(evening),stamina,dense jumpstream,12.6,12.88,-0.28,0.28
,The Truth Never Spoken,jack,mid chordjack,12.6,12.77,-0.17,0.17
,Bring Our Ignition Back x1.1,jack,mid chordjack,12.6,12.42,0.18,0.18
,Japanese Transformation(fullerene),stamina,dense jumpstream,12.5,12.7,-0.2,0.2
,Crystal World -Fracture-,speed,Unsigned,12.5,13.04,-0.54,0.54
,IMAGE -MATERIAL- Version 0(luminal),stamina,light handstream,12.4,12.25,0.15,0.15
,Lolit Speed,stamina,dense jumpstream,12.4,11.14,1.26,1.26
,Pure Ruby,speed,Unsigned,12.4,12.28,0.12,0.12
,Odin(fullerene),speed,high stream,12.4,12.3,0.1,0.1
,Mario Point[D-Hyper],speed,low stream,12.4,11.51,0.89,0.89
,ZENITHALIZE,jack,high chordjack,12.4,12.83,-0.43,0.43
,IMAGE -MATERIAL- Version 0(fullerene),stamina,light handstream,12.3,12.35,-0.05,0.05
,YELL!(e4v2),speed,Unsigned,12.2,12.23,-0.03,0.03
,Asymmetrical Grooves,tech,Unsigned,12,12.43,-0.43,0.43
,Blue Planet,tech,stream tech,12,12.35,-0.35,0.35
,Time to Say Goodbye(beta),stamina,dense jumpstream,12,11.85,0.15,0.15
,Amber Starlight(beta),speed,low stream,12,11.65,0.35,0.35
,Paradigm Shift(beta),jack,high chordjack,12,12.22,-0.22,0.22
,Edison(e3v3) x1.15,jack,mid chordjack,12,11.83,0.17,0.17
,Akasha(sp3v2) x0.88,speed,Unsigned,11.7,11.25,0.45,0.45
,End Time(e3v2) x1.1,speed,Unsigned,11.5,11.2,0.3,0.3
,INTERNET OVERDOSE x1.05,tech,stream tech,11.4,12.1,-0.7,0.7
,Euthanasia x1.05,speed,Unsigned,11.2,11.56,-0.36,0.36
,LazorBeamz,stamina,light jumpstream,11,10.89,0.11,0.11
,Makiba(alpha),speed,low stream,11,11.19,-0.19,0.19
,Dark Sambaland,jack,high chordjack,11,11.09,-0.09,0.09
,Odoru Mizushibuki x1.1,tech,jack tech,10.8,10.84,-0.04,0.04
,Towards the Horizon,tech,Unsigned,10.8,11.5,-0.7,0.7
,P8107 x0.95,speed,low stream,10.8,12.01,-1.21,1.21
,Message(e2v2),speed,low stream,10.7,11.02,-0.32,0.32
,Moment x1.05,jack,high chordjack,10.6,10.48,0.12,0.12
,Shin Takarajim(sp2v2),speed,Unsigned,10.5,10.9,-0.4,0.4
,Torikago,speed,mid stream,10.4,10.67,-0.27,0.27
,The Lost Dedicated(loved),jack,high chordjack,10.4,10.67,-0.27,0.27
,Eiya no Parade x1.05,speed,low stream,10.3,10.5,-0.2,0.2
,Dope Monkeys x1.02,speed,low stream,10.1,9.44,0.66,0.66
,Tailin no Soul x1.2,tech,stream tech,10,9.71,0.29,0.29
,Rave 7 [Hard] x1.1,tech,stream tech,10,10.82,-0.82,0.82
,Chandelier(10),stamina,dense jumpstream,10,10.68,-0.68,0.68
,Oh Curry! x0.9,speed,staircase,10,9.64,0.36,0.36
,The Lost Dedicated(10),jack,high chordjack,10,10.7,-0.7,0.7
,Cicadidae,tech,stream tech,9,9.24,-0.24,0.24
,Firmament Castle Velier(9) x1.05,stamina,dense jumpstream,9,10.12,-1.12,1.12
,Disconnected Trance(9),speed,low stream,9,8.73,0.27,0.27
,Scorpion Dance,jack,high chordjack,9,9.98,-0.98,0.98
,Can't Take my Eyes,jack,low chordjack,9,9.11,-0.11,0.11
,RATO,tech,stream tech,8,7.82,0.18,0.18
,Anguish(8),stamina,dense jumpstream,8,8.24,-0.24,0.24
,Trickstarz,speed,staircase,8,8.75,-0.75,0.75
,To The Limit(8),jack,high chordjack,8,8.38,-0.38,0.38
,WAVE,tech,mix tech,7,6.94,0.06,0.06
,Hymn,stamina,light jumpstream,7,7.28,-0.28,0.28
,Last Chance,jack,Unsigned,7,6.77,0.23,0.23
,Five Five Five Guys,speed,low stream,6.6,7.26,-0.66,0.66
,M-A[Expert Lv.15],stamina,dense jumpstream,6.2,6.46,-0.26,0.26
,The Bird's Midair Heatstroke,tech,Unsigned,6,5.98,0.02,0.02
,Luv Lab 22ate!,speed,mid stream,6,6.84,-0.84,0.84
,SOS,speed,mid stream,6,5.91,0.09,0.09
,Sweet Cherry X,jack,Unsigned,6,6.09,-0.09,0.09
,Back to the Gate[Lv.5100],stamina,dense jumpstream,6,6.68,-0.68,0.68
,Brainfog,tech,Unsigned,5,4.8,0.2,0.2
,Elektric U-Phoria,stamina,dense jumpstream,5,5.54,-0.54,0.54
,Palette GAMMA[Abstract],speed,low stream,5,4.93,0.07,0.07
,TDPDG,speed,low stream,5,5.03,-0.03,0.03
,Energy Flower 3007,jack,Unsigned,5,4.73,0.27,0.27
,Angel Of Darkness,stamina,light jumpstream,4.2,4.32,-0.12,0.12
,Ephemera,tech,Unsigned,4,4.42,-0.42,0.42
,Shannon's Theorem,tech,stream tech,4,4.11,-0.11,0.11
,CrossOver,jack,Unsigned,4,3.55,0.45,0.45
,Kirlian Shores,tech,Unsigned,3,2.19,0.81,0.81
,True Blue,stamina,Unsigned,3,3.05,-0.05,0.05
,Entelechia,speed,mid stream,3,2.56,0.44,0.44
,Dimension Trippere!!!!,jack,Unsigned,3,2.6,0.4,0.4
,Vermillion,tech,Unsigned,2,2.05,-0.05,0.05
,Eternal Drain,stamina,Unsigned,2,1.76,0.24,0.24
,Snow Storm,speed,Unsigned,2,2.23,-0.23,0.23
,Flashes,jack,Unsigned,2,2.29,-0.29,0.29
,Want U 2,tech,Unsigned,1,1.18,-0.18,0.18
,Tommorow Perfume,stamina,Unsigned,1,1.91,-0.91,0.91
,Shelter,speed,Unsigned,1,0.82,0.18,0.18
,Miracle Chance,jack,Unsigned,1,1.1,-0.1,0.1
3079544,Night Club Junkie x0.95,speed,low stream,14.6,14.61,-0.01,0.01
3079545,Night Club Junkie,speed,low stream,15,15.15,-0.15,0.15
3933034,kizuato x1.25,speed,staircase,15.8,15.5,0.3,0.3
3933037,kizuato x1.3,speed,staircase,16.2,16.4,-0.2,0.2
4692665,Everything Black x0.95,speed,high stream,14.8,14.77,0.03,0.03
4692669,Everything Black,speed,high stream,15.2,15.01,0.19,0.19
1455989,Moon Gate,speed,high stream,13,12.99,0.01,0.01
5111540,angel dust,stamina,light handstream,16.4,16.24,0.16,0.16
5195389,Lolit Speed x1.13,stamina,dense jumpstream,14,13.46,0.54,0.54
1305297,Tornado,tech,jacky tech,13.4,12.9,0.5,0.5
2196118,Kaguyahime x1.2,tech,jacky tech,14.4,14.51,-0.11,0.11
1065834,Big Brother,tech,stream tech,10,10.14,-0.14,0.14
2877294,STRONG 280,stamina,dense handstream,14.4,15.78,-1.38,1.38
716700,slavik goblins,stamina,dense handstream,13.7,13.45,0.25,0.25
1429738,star of andromeda,jack,low chordjack,11,10.66,0.34,0.34
3150955,star of andromeda x1.1,jack,low chordjack,13,12.57,0.43,0.43
3150957,star of andromeda x1.2,jack,low chordjack,14,13.95,0.05,0.05
3150959,star of andromeda x1.3,jack,low chordjack,15,14.78,0.22,0.22
3580775,star of andromeda x1.4,jack,low chordjack,16,15.47,0.53,0.53
2552927,paranoia,jack,low chordjack,10,9.98,0.02,0.02
3260902,The Truth Never Spoken,jack,mid chordjack,12.6,12.77,-0.17,0.17
2308001,Vertex Beta,jack,mid chordjack,15.8,14.52,1.28,1.28
4706643,EVERYTHING BLACK,jack,high chordjack,13.6,13.22,0.38,0.38
3535951,Heaven's Fall x1.3,stamina,dense handstream,13.6,13.57,0.03,0.03
3107371,Rude Buster (Camellia Remix),stamina,dense handstream,14,13.61,0.39,0.39
3107368,Rude Buster (Camellia Remix) x1.1,stamina,dense handstream,15,14.55,0.45,0.45
1937582,Love is War x1.3,stamina,dense handstream,13.6,13.82,-0.22,0.22
2553924,ametsuchi x1.2,jack,low chordjack,8.6,8.46,0.14,0.14
,Oceanus(xfpsb1),ln,hybrid,9.5,Invalid,,
,Otenba Koimusume,ln,density,9.5,Invalid,,
,Gunjou Infinity [Buffed] (Cut),ln,speed,9.5,Invalid,,
,Orca [Broken-],ln,tech,9.5,Invalid,,
,Hanatachi ni Kibouwo 1.15x,ln,hybrid,10.5,Invalid,,
,Akasha 1.05x,ln,density,10.5,Invalid,,
,Ano Yume o Nazotte (Cut) 1.15x,ln,speed,10.5,Invalid,,
,Yoru ni Kakeru (xfpsb2 Cut) 1.05x,ln,tech,10.5,Invalid,,
,L4.8TS,ln,hybrid,11.5,Invalid,,
,Utakatayo Ikanaide [LN Edit] (Cut) 1.265x,ln,density,11.5,Invalid,,
,bullet 1.15x,ln,speed,11.5,Invalid,,
,HAMELN [Fanger] (Cut),ln,tech,11.5,Invalid,,
,Aegleseeker [Galaxy+],ln,hybrid,12.5,Invalid,,
,finorza (Cut),ln,density,12.5,Invalid,,
,Kokoro no Shitsuryou (Edit),ln,speed,12.5,Invalid,,
,Unmei no Haguruma (Edit),ln,tech,12.5,Invalid,,
,ReviveR,ln,hybrid,13.5,Invalid,,
,Unleashed World 1.075x,ln,density,13.5,Invalid,,
,Kairikou 1.125x,ln,speed,13.5,Invalid,,
,Identity Part 5 1.05x,ln,tech,13.5,Invalid,,
,Exitium 1.025x,ln,hybrid,14.5,Invalid,,
,Ultrasonic Anthem [Ultimate+] 1.1x,ln,density,14.5,Invalid,,
,Decoy 1.025x,ln,speed,14.5,Invalid,,
,Flamewall (Cut) [Edit] 1.15x,ln,tech,14.5,Invalid,,
,Snow Drive (Cut) 1.225x,ln,hybrid,15.5,Invalid,,
,Kaku mo Yuubi na Hi to Narite (Cut) 1.1x,ln,density,15.5,Invalid,,
,Tojita Sekai (xfpsbF Cut),ln,speed,15.5,Invalid,,
,Shuu no Hazama (xfpsbF Cut) 1.15x,ln,tech,15.5,Invalid,,
4608742,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Doki Doki Literature Club! ~ 2nd ~ (Marathon)],ln,hybrid,2,Invalid,,
4608744,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Hitorigoto ~ 1st ~ (Marathon)],ln,hybrid,1,Invalid,,
4608739,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [aura ~ 3rd ~ (Marathon)],ln,hybrid,3,Invalid,,
4608750,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Otenba Koimusume ~ 4th ~ (Marathon)],ln,hybrid,4,Invalid,,
4608751,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Pink Gold ~ 5th ~ (Marathon)],ln,hybrid,5,Invalid,,
4608745,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Koborezu no Negaigoto ~ 6th ~ (Marathon)],ln,hybrid,6,Invalid,,
4608749,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Missing Banquet ~ 8th ~ (Marathon)],ln,hybrid,8,Invalid,,
4608752,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Rock It ~ 7th ~ (Marathon)],ln,hybrid,7,Invalid,,
4608741,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Dodger's Gadget ~ 9th ~ (Marathon)],ln,hybrid,9,Invalid,,
4614499,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [towa no maigo 1.1x ~ 10th ~ (Marathon)],ln,hybrid,10,Invalid,,
4608747,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Kyouki Ranmai ~ Yoru ~ (Marathon)],ln,hybrid,13,Invalid,,
4608743,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Enigma 1.1x ~ Yoake ~ (Marathon)],ln,hybrid,11,Invalid,,
4608740,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Carnation [ck remix] 1.05x ~ Yuugure ~ (Marathon)],ln,hybrid,12,Invalid,,
4608753,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Protoflicker 1.25x ~ Yokaze ~ (Marathon)],ln,hybrid,16,Invalid,,
4608748,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Mare Nectaris ~ Yami ~ (Marathon)],ln,hybrid,14,Invalid,,
4608746,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Kodoku no Kakurenbo 1.15x ~ Yume ~ (Marathon)],ln,hybrid,15,Invalid,,
4608999,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Dango Daikazoku ~ 1st ~ (Marathon)],ln,release,1,Invalid,,
4614497,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [SPF 420 ~ 2nd ~ (Marathon)],ln,release,2,Invalid,,
4609008,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Power To Progress ~ 6th ~ (Marathon)],ln,release,6,Invalid,,
4609001,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Gee ~ 4th ~ (Marathon)],ln,release,4,Invalid,,
4609011,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [silver temple ~ 3rd ~ (Marathon)],ln,release,3,Invalid,,
4609004,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [MilK ~ 5th ~ (Marathon)],ln,release,5,Invalid,,
4609010,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Shotgun Senorita [Zardonic Remix] ~ 8th ~ (Marathon)],ln,release,8,Invalid,,
4609007,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [On the FM ~ 7th ~ (Marathon)],ln,release,7,Invalid,,
4609009,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Raijin no Hidariude ~ 9th ~ (Marathon)],ln,release,9,Invalid,,
4609000,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Dopamine ~ 10th ~ (Marathon)],ln,release,10,Invalid,,
4609006,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [No. 6 ~ Yuugure ~ (Marathon)],ln,tech,12,Invalid,,
4608998,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Avalon no oka ~ Yoake ~ (Marathon)],ln,inverse,11,Invalid,,
4609003,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Intersect Thunderbolt -Remix ~ Yoru ~ (Marathon)],ln,tech,13,Invalid,,
4609002,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Inaiinai isonshou 1.25x ~ Yume ~ (Marathon)],ln,tech,15,Invalid,,
4609005,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Nhelv 1.05x ~ Yami ~ (Marathon)],ln,tech,14,Invalid,,
4609012,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Cinderella Cage -Trancecore Mix- 1.6x ~ Yokaze ~ (Marathon)],ln,tech,16,Invalid,,
4609086,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Nerevar Rising ~ 1st ~ (Marathon)],ln,inverse,1,Invalid,,
4609080,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Heartbeats ~ 2nd ~ (Marathon)],ln,inverse,2,Invalid,,
4609079,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [future gazer ~ 4th ~ (Marathon)],ln,inverse,4,Invalid,,
4609081,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [i use raw expectation to unlock placebo. ~ 3rd ~ (Marathon)],ln,inverse,3,Invalid,,
4609076,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [ 3 ~ 7th ~ (Marathon)],ln,inverse,7,Invalid,,
4609085,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Mousou Express [Remix] ~ 6th ~ (Marathon)],ln,inverse,6,Invalid,,
4609087,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Promise ~ 5th ~ (Marathon)],ln,inverse,5,Invalid,,
4609088,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Sakase natsuzora koi no hana. ~ 8th ~ (Marathon)],ln,inverse,8,Invalid,,
4609077,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [cold planet ~ 9th ~ (Marathon)],ln,inverse,9,Invalid,,
4609084,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Love is War ~ Yoake ~ (Marathon)],ln,density,11,Invalid,,
4609089,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Sakura Trip 1.15x ~ 10th ~ (Marathon)],ln,inverse,10,Invalid,,
4609078,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [ENDYMION ~ Yuugure ~ (Marathon)],ln,density,12,Invalid,,
4609083,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Literal Crystal In The Cyphisonia 1.15x ~ Yoru ~],ln,density,13,Invalid,,
4609082,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Indomitable Spirit [Hommarju Remix] 1.5x ~ Yami ~ (Marathon)],ln,density,14,Invalid,,
4614495,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Lancelot -Flame of the Rebellion- 1.35x ~ Yokaze ~ (Marathon)],ln,density,16,Invalid,,
4609090,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [White Hair Little Swords Girl 1.025x ~ Yume ~ (Marathon)],ln,density,15,Invalid,,
4609231,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Trickl4sh 220 ~ 1st ~ (Marathon)],ln,density,1,Invalid,,
4609229,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Rockhill ~ 2nd ~ (Marathon)],ln,density,2,Invalid,,
4609227,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [OVERDRIVERS ~ 3rd ~ (Marathon)],ln,density,3,Invalid,,
4609221,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Blacksphere ~ 5th ~ (Marathon)],ln,density,5,Invalid,,
4609217,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [#FairyJoke #SDVX_Edit ~ 4th ~ (Marathon)],ln,density,4,Invalid,,
4609220,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Berry Go!! ~ 6th ~ (Marathon)],ln,density,6,Invalid,,
4609228,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Owari to Hajimari no Oto ~ 8th ~ (Marathon)],ln,density,8,Invalid,,
4614493,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Tsumibito ~ 7th ~ (Marathon)],ln,density,7,Invalid,,
4609226,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Ordinary world ~ 9th ~ (Marathon)],ln,density,9,Invalid,,
4609222,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Element of SPADA 1.1x ~ 10th ~ (Marathon)],ln,speed,12,Invalid,,
4609219,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [asphyxia 1.05x ~ Yoake ~ (Marathon)],ln,speed,11,Invalid,,
4609230,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [The lost ~ Yami ~ (Marathon)],ln,speed,14,Invalid,,
4609225,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [NUCLEAR-STAR ~ Yume ~ (Marathon)],ln,speed,15,Invalid,,
4609224,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [NEURO-CLOUD-9 ~ Yoru ~ (Marathon)],ln,speed,13,Invalid,,
4609232,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [R U Still xxxx 1.15x ~ Yokaze ~ (Marathon)],ln,speed,16,Invalid,,
4351661,Laur - Kokushi musou [World's Final End (17th edit)],ln,Unsigned,17,Invalid,,
4517847,Ludicin - Onus Rēgulus [In Abyss],ln,Unsigned,17,Invalid,,
5029140,Various Artist - 4K LN Dan Courses - EXTRA - [17th Dan - Yeehee (Marathon)],ln,Unsigned,17,Invalid,,
5366651,Ludicin - Blossom of Ashes [Divination of Calamity],ln,density,14.5,Invalid,,
5366777,takehirotei - 定时地狱 ~The Perpetual Chaotically Unsynced Pendulum~ [Convergence],ln,Unsigned,14,Invalid,,
4824023,Laur - 国士無双 [LN bukbuk],ln,Unsigned,14.8,Invalid,,
4732296,ウォルピスカーター - Oxalis [Imitation],ln,Unsigned,13.6,Invalid,,
4652576,Xyris - Eviternity [LN Eviternity],ln,Unsigned,14.4,Invalid,,
3793375,ああ…翡翠茶漬け… - stεganography [Cipher Encryption],ln,Unsigned,13.8,Invalid,,
